AthleteID,Sex,BestMedal,NSeasons
100690,M,None,1
100691,M,None,1
100692,M,None,1
100694,F,None,1
100697,M,Bronze,3
100698,M,Bronze,4
100699,M,Gold,1
1007,M,None,1
10070,M,None,1
100700,F,None,1
100701,M,None,1
100703,M,None,1
100706,M,None,1
100707,M,None,1
100708,F,None,1
100709,M,Bronze,1
10071,M,None,1
100710,M,None,1
100711,M,None,1
100712,M,None,1
100713,F,None,1
100714,F,Gold,3
100715,M,Silver,1
100717,M,None,1
100718,M,None,3
100719,M,None,2
10072,M,Gold,1
100720,M,None,1
100721,M,None,1
100722,M,None,1
100723,F,None,2
100724,M,None,1
100725,F,None,3
100726,F,None,3
100727,F,None,2
100728,M,None,1
10073,M,None,1
100730,M,Silver,3
100731,F,None,1
100732,M,None,1
100733,M,Gold,1
100734,M,None,1
100735,M,None,1
100736,M,None,1
100738,F,None,2
100739,M,None,1
10074,M,None,1
100740,M,None,2
100741,F,Bronze,2
100742,F,None,5
100743,M,None,1
100744,M,None,1
100745,M,Gold,5
100747,F,None,1
100748,M,None,1
100749,M,None,1
10075,M,None,1
100750,F,None,1
100751,F,None,1
100752,F,None,1
100754,M,None,1
100755,M,None,1
100756,F,None,1
100757,M,None,1
100758,F,None,1
100759,M,None,1
10076,F,None,3
100760,M,None,1
100761,M,None,1
100762,F,None,1
100763,M,None,1
100764,M,Silver,1
100765,M,None,1
100766,F,None,1
100767,M,None,1
100769,M,None,1
10077,M,None,1
100770,F,None,2
100771,M,Gold,2
100772,M,None,1
100774,M,None,2
100775,F,None,1
100776,F,None,2
100777,F,None,1
100778,M,None,2
100779,M,Gold,2
10078,M,None,1
100780,F,None,3
100781,M,None,1
100782,M,None,1
100783,M,Silver,1
100784,F,Bronze,4
100785,M,None,1
100786,F,None,1
100787,M,Silver,1
100788,F,None,2
100789,M,None,2
10079,F,None,2
100790,M,Bronze,1
100791,M,None,1
100792,M,None,1
100793,M,None,1
100794,M,None,1
100795,M,Gold,3
100796,F,None,1
100797,F,Gold,2
100798,M,Silver,2
100799,M,Silver,1
1008,M,None,1
10080,M,None,1
100800,M,Bronze,2
100801,M,Silver,1
100802,M,None,1
100803,M,Gold,1
100804,F,None,1
100805,F,None,1
100806,M,None,2
100807,M,None,1
100808,M,Gold,2
10081,M,None,1
100810,M,Gold,2
100811,M,Bronze,1
100812,M,None,1
100813,M,Silver,1
100814,M,Gold,1
100815,F,None,1
100816,M,None,1
100817,M,None,1
100818,M,None,1
10082,M,None,1
100820,M,None,1
100821,M,None,1
100822,M,None,1
100823,M,None,2
100824,M,None,1
100825,F,Silver,3
100826,F,Bronze,2
100827,M,Bronze,1
100828,M,None,1
100829,F,None,1
10083,M,None,3
100831,F,Gold,2
100832,M,None,1
100833,M,Gold,1
100834,F,None,1
100835,M,None,2
100836,M,None,1
100837,M,None,1
100838,M,None,2
100839,M,None,1
10084,M,Silver,2
100840,F,None,1
100841,M,None,1
100842,M,Silver,1
100843,F,None,2
100844,M,None,1
100845,F,None,2
100846,M,None,1
100847,M,None,1
100848,M,None,1
100849,M,None,1
10085,M,Silver,5
100850,M,None,1
100851,M,None,1
100852,F,None,3
100853,M,None,2
100854,M,None,1
100855,M,None,1
100856,F,None,1
